location_city,location_name,location_street_address,location_street_address_2,location_state,location_zip_code,region,logged_at
Miami,Raul Auto Repair,14714 SW 56th St,,FL,33185,MIA,2017-11-29 21:31:19
Whitby,AAMCO of Whitby,305 Hopkins Street,,ON,L1N 2C1,YTZ,2017-11-29 21:31:34
San Francisco,The Lyft Hub,2300 26th Street,,CA,94107,SJC,2017-11-29 21:31:11
Minneapolis,Bobby & Steve's - Cedar Lake (NO LYFT REP.),328 South Cedar Lake Rd,,MN,55405,MSP,2017-08-24 16:31:35
Phoenix,Phoenix Lyft Hub,4050 E. Cotton Center Blvd,,AZ,85040,PHX,2017-10-03 01:13:03
Berkeley,Berkeley - Midas +1 510-849-1400,1835 San Pablo Ave,,CA,94703,SFO,2017-09-06 23:22:30
Vallejo,Pep Boys - Gateway Plaza Vallejo,Gateway Plaza 128 Plaza Dr,,CA,94591,STS,2017-03-27 21:44:06
Sacramento,Pep Boys - Northgate,3534 Northgate Blvd,,CA,95834,SMF,2017-02-28 01:27:41
Fresno,Pep Boys Downtown Fresno,716 Broadway St Fresno,,CA,93721,FAT,2017-02-02 02:07:45
Arlington,Lyft DC Hub (paid parking),2011 Crystal Drive,,VA,22202,DCA,2017-01-31 18:57:23
Oakland,Oakland Hub Lite,2408 Mandela Pkwy,,CA,94607,SFO,2017-11-30 20:33:12
Oxnard,Pep Boys - Oxnard,939 S Oxnard Blvd,,CA,93030,OXR,2017-11-29 21:31:21
West Los Angeles,Pep Boys - Sepulveda Blvd,1992 S Sepulveda Blvd,,CA,90025,LAX,2017-11-29 21:31:29
Napa,Les Schwab Tire Center - Napa,830 W Imola Ave,,CA,94559,STS,2017-11-29 21:31:20
Dublin,Wheel Works,7100 Regional St,,CA,94568,SFO,2017-11-29 21:31:27
Miami,Green's Garage,2221 SW 32nd Ave,,FL,33145,MIA,2017-11-29 21:31:10
Rohnert Park,Pep Boys - Rohnert Park,4805 Redwood Dr,,CA,94928,STS,2017-11-29 21:31:17
Summerville,AAMCO Summerville - Old Trolley Rd,1550 Old Trolley Road,,SC,29485,CHS,2017-11-29 21:31:24
Pullman,Evergreen Tire,300 NE Stadium Way,,WA,99163,PUW,2017-11-29 21:31:31
Milpitas,Wheel Works - Milpitas,2 N Abel St,,CA,95035,SJC,2017-11-29 21:31:29
Yakima,Autometrics,813 N Front St,,WA,98901,YKM,2017-11-29 21:31:13
Santa Barbara,The Tire Pros,401 W Carrillo St,,CA,93101,SBA,2017-11-29 21:31:25
St Helena,OK Tire - St Helena,910 Dowdell Ln,,CA,94574,STS,2017-11-29 21:31:20
MESA,Discount Tire - Mesa,1910 N POWER RD,,AZ,85205,PHX,2017-11-29 21:31:20
Hollywood,Mike's Great Bear Auto,2804 Hollywood Blvd,,FL,33020,MIA,2017-07-05 21:43:00
Ann Arbor,Midas (Jackson Ave),2395 Jackson Ave.,,MI,48103,ARB,2017-06-02 02:58:45
Modesto,Meineke - Modesto,401 Bangs Ave F,,CA,95356,MOD,2017-11-29 21:31:20
Yuba City,Jiffy Lube - Yuba City,1331 Bridge St,,CA,95993,YAS,2017-11-29 21:31:09
Lansing,Pep Boys - Lansing,17015 Torrence Ave,,IL,60438,CHI,2017-11-29 21:31:31
Paterson,Pep Boys - Paterson NJ,261 McLean Blvd,,NJ,7504,NYC,2017-11-29 21:31:12
St Charles,Pep Boys - St. Charles,2010 W Main St,,IL,60174,CHI,2017-11-29 21:31:28
Vallejo,Pep Boys - Vallejo,Gateway Plaza 128 Plaza Dr,,CA,94591,STS,2017-11-29 21:31:17
Flagstaff,Valvoline,1061 W Rte 66,,AZ,86001,FLG,2017-11-29 21:31:11
Santee,Pep Boys -  Santee,10041 Mission Gorge Rd,,CA,92071,SAN,2017-11-29 21:31:30
Everett,Pep Boys- Everett,10113 Evergreen Way,,WA,98204,SEA,2017-11-29 21:31:24
Elgin,Pep Boys - Elgin,1020 Summit St,,IL,60120,CHI,2017-11-29 21:31:30
Ann Arbor,Midas of Ann Arbor (Washtenaw),3170 Washtenaw Avenue,,MI,48104,ARB,2017-11-29 21:31:22
Lone Tree,Pep Boys - Park Meadows Dr.,7469 Park Meadows Dr,,CO,80124,DEN,2017-11-29 21:31:24
Minneapolis,Bobby & Steve's - Washington (NO LYFT REP.),1221 Washington Avenue S.,,MN,55415,MSP,2017-08-24 17:12:11
Riverdale,Lyft at Elks - Hyattsville,6700 Kenilworth Ave,,MD,20737,DCA,2017-03-23 15:52:28
Ann Arbor,TECHNET Ann Arbor - Lous Wolverine Transmission,1904 Packard Rd,,MI,48104,ARB,2017-07-27 21:22:52
El Cajon,Pep Boys - El Cajon,201 Jamacha Rd,,CA,92109,SAN,2017-10-20 18:08:54
Toms River,Pep Boys - Toms River NJ,301 NJ-37 E,,NJ,8753,NYC,2017-11-29 21:31:12
FORT COLLINS,TECHNET Ft. Collins - Ken's Muffler Shop,1219 NORTH COLLEGE AVE,,CA,80524,FNL,2017-11-29 21:31:26
Cerritos,Pep Boys -- Cerritos Reinspection,11944 South St,,CA,90703,OCX,2017-11-29 21:31:33
Greenville,AAMCO Greenville - Mauldin Rd,411 Mauldin Road,,SC,29605,GSP,2017-11-29 21:31:23
Vacaville,Jiffy Lube - Vacaville,1013 E Monte Vista Ave,,CA,95688,STS,2017-11-29 21:31:20
Versailles,Meineke Car Care Center,220 Crossfield Dr,,KY,40383,LEX,2017-11-29 21:31:28
Pinellas Park,Pep Boys - Pinellas Park,6492 Park Blvd N,,FL,33781,TPA,2017-11-29 21:31:11
CHARLESTON,National Tire & Battery Charleston - Savannah Hwy,1905 SAVANNAH HIGHWAY,,SC,29407,CHS,2017-11-29 21:31:23
Napa,Big O Tires - Napa,442 Soscol Ave,,CA,94559,STS,2017-11-29 21:31:30
Fox River Grove,Pep Boys - Fox River Grove,910 Northwest Hwy Unit 100,,IL,60021,CHI,2017-11-29 21:31:28
Aurora,Elevations Church,15600 E Alameda Pkwy,,CO,80017,DEN,2017-11-29 21:31:15
Mt Pleasant,Auto Lab,402 N Mission St,,MI,48858,MOP,2017-11-29 21:31:09
San Luis Obispo,B & B Collision Repair - San Luis Obispo,845 Fiero Ln,,CA,93401,SBP,2017-11-29 21:31:27
GREENVILLE,1,6141 WHITE HORSE RD,,SC,29611,GSP,2017-08-03 23:28:04
Tuba City,Cal' Auto Body & Repair Shop,345 U 160,,AZ,86045,NAZ,2017-09-01 00:29:23
Santa Cruz,Firestone Complete Auto Repair,510 Water St,,CA,95060,CRZ,2017-01-20 22:46:11
Scio,Belle Tire Scio,4049 Jackson Road,,MI,48103,ARB,2017-04-13 17:44:36
St. Paul,Meineke St. Paul,865 University Ave W,,MN,55104,MSP,2017-12-04 00:22:46
Aurora,Summit Event Center,Sixth & Sable Plaza 411 Sable Blvd,,CO,80011,DEN,2017-11-30 19:48:14
Kalamazoo,AAMCO Kalamazoo - Portage St,541 Portage Street,,MI,49007,AZO,2017-11-29 21:31:31
Aurora,Concentra UrgentCare Aurora Chambers Rd.,3449 Chambers Rd b,,CO,80011,DEN,2017-11-29 21:31:21
North Platte,T.O Haas Tire & Auto,1919 W Rodeo Rd Ave,,NE,69101,WNE,2017-11-29 21:31:26
Streamwood,Pep Boys - Streamwood,160 Barrington Rd,,IL,60107,CHI,2017-11-29 21:31:34
Chula Vista,Pep Boys Chula Vista,1000 Tierra Del Rey,,CA,91910,SAN,2017-11-29 21:31:10
Fayetteville,AAMCO,3270 N College Ave,,AR,72703,XNA,2017-11-29 21:31:13
ALABASTER,National Tire & Battery Alabaster - Jimmy Gould Dr,70 JIMMY GOULD DRIVE,,AL,35007,BHM,2017-11-29 21:31:24
Fresno,Pep Boys Fresno,5615 E Kings Canyon Rd,,CA,93727,ECA,2017-11-29 21:31:24
Washington,Logan Circle,1100 Rhode Island Ave NW,,DC,20005,DCA,2017-11-29 21:31:20
Arlington Heights,Pep Boys - Arlington Heights,375 E Rand Rd,,IL,60004,CHI,2017-11-29 21:31:30
Inver Grove Heights,Pep Boys - Inver Grove Heights (NO LYFT REP.),1426 Mendota Rd E,,MN,55077,MSP,2017-11-29 21:31:25
Ham Lake,Victory Auto - Ham Lake (NO LYFT REP.),16326 Highway 65 NE,,MN,55304,MSP,2017-08-24 20:02:28
Columbia,National Tire & Battery Columbia - Sunset Blvd,5450 SUNSET BOULEVARD,,SC,29072,CAE,2017-08-03 22:20:48
Truckee,Advanced Body & Frame,10745 W River St,,CA,96161,TVL,2017-05-09 19:01:42
East Brunswick,Pep Boys - East Brunswick,575 NJ-18,,NJ,8816,NYC,2017-01-26 23:14:44
Chicago,Pep Boys (Elston),2604 N Elston Avenue,,IL,60647,CHI,2017-11-30 15:00:23
Healdsburg,Healdsburg - Big O Tires,1115 Healdsburg Ave,,CA,95448,STS,2017-11-29 21:31:15
Eden Prairie,Bobby & Steve's - Eden Prairie (NO LYFT REP.),8100 Flying Cloud Drive,,MN,55344,MSP,2017-11-29 21:31:24
San Luis Obispo,Jiffy Lube - San Luis Obispo,110 Higuera St,,CA,93401,SBP,2017-11-29 21:31:27
Puyallup,Pep Boys Puyallup,12228 Meridian E,,WA,98373,SEA,2017-11-29 21:31:10
Lompoc,Big Brand Tire - Lompoc,415 W. Central,,CA,93436,SBP,2017-11-29 21:31:22
Tallahassee,Pep Boys - North Monroe St,2525 North Monroe St,,FL,32303,TLH,2017-11-29 21:31:08
Lost Hills,V.B Auto Truck & Diesel Repair - Lost Hills,14692 Martin Ave,,CA,93249,BFL,2017-11-29 21:31:27
San Francisco,Midas - Alemany Blvd,1800 Alemany Blvd,,CA,94112,SFO,2017-11-29 21:31:27
Vacaville,Les Schwab Tire Center - Vacaville,801 Mason St,,CA,95688,STS,2017-11-29 21:31:21
Gallup,Pep Boys - Gallup,702 North Highway 491,,NM,87301,GUP,2017-11-29 21:31:32
Crestwood,Pep Boys - Crestwood,13401 S Cicero Ave,,IL,60445,CHI,2017-11-29 21:31:37
Sparks,Pep Boys - Sparks,300 E PRATER WAY,,NV,89431,RNO,2017-11-29 21:31:34
Tucson,AAMCO Tucson -,7120 East Golf Links Road,,AZ,85730,TUS,2017-11-29 21:31:15
Las Cruces,Pep Boys Las Cruces,1203 E Lohman Ave,,NM,88001,ROW,2017-11-29 21:31:24
Gilroy,Meineke Car Care Center - Gilroy,190 Welburn Ave,,CA,95020,CRZ,2017-05-10 23:36:08
Burnsville,Meineke Burnsville,600 Southcross Drive W,,MN,55306,MSP,2017-11-07 00:01:41
COLORADO SPRINGS,EAGLE TIRE,1985 B St,,CO,80906,COS,2017-07-27 18:17:59
Cicero,Pep Boys (Cicero),2501 S Cicero Ave,,IL,60804,CHI,2017-12-04 22:51:20
Glendale,Pep Boys - Glendale,6311 W Bell Rd,,AZ,85308,PHX,2017-11-29 21:31:21
Callaway,Pep Boys Callaway,161 N Tyndall Pkwy,,FL,32404,ECP,2017-11-29 21:31:21
Albuquerque,Pep Boys - Alameda Blvd,1624 Alameda Blvd NW,,NM,87114,ABQ,2017-11-29 21:31:31
Cameron Park,Big O Tires - Cameron Park,3321 Durock Rd Cameron Park CA 95682,,CA,95682,TVL,2017-11-29 21:31:21
Chula Vista,Pep Boys CV,1000 Tierra Del Rey,,CA,91910,SAN,2017-11-29 21:31:31
Columbia,Pep Boys Columbia - Decker Blvd,2455 Decker Blvd,,SC,29206,CAE,2017-11-29 21:31:19
Mammoth Lakes,Figueroa's Auto,59 Sierra Park Rd,,CA,93546,EAZ,2017-11-29 21:31:25
Detroit,The Block at Cass Park,2727 2nd Avenue,,MI,48201,DTW,2017-11-29 21:31:19
SANTA CRUZ,TECHNET Santa Cruz - Stanford Ave,110 STANFORD AVE.,,CA,95062,CRZ,2017-11-29 21:31:24
Steamboat Springs,Ranch at Steamboat,1800 Ranch Rd,,CO,80487,SSC,2017-11-29 21:31:23
Modesto,Jiffy Lube - Modesto,3927 McHenry Ave,,CA,95356,MOD,2017-11-29 21:31:21
Lincoln,Lincoln - Firestone,951 Sterling Pkwy,,CA,95648,SMF,2017-11-29 21:31:28
ALABASTER,70 JIMMY GOULD DRIVE,70 JIMMY GOULD DRIVE,,AL,35007,BHM,2017-08-03 22:01:12
Ann Arbor,Belle Tire (Ann Arbor),3501 Washtenaw Avenue,,MI,48104,ARB,2017-04-13 19:39:22
San Jose,Behind South Bay Church,1188 Murphy Avenue,,CA,95131,SJC,2016-10-17 00:27:30
Aliso Viejo,Pep Boys - Aliso Viejo,26881 Aliso Creek Rd,,CA,92656,OCX,2017-11-02 22:56:41
Los Angeles,Pep Boys - Crenshaw Blvd,3737 Crenshaw Blvd,,CA,90016,LAX,2017-11-29 21:31:28
Merced,Big O Tires - Merced,1261 W 18th St,,CA,95340,MCE,2017-11-29 21:31:27
Columbia,Pep Boys Columbia - Broad River Rd,1804 Broad River Rd,,SC,29210,CAE,2017-11-29 21:31:12
SIMPSONVILLE,National Tire & Battery Simpsonv - Sunset Blvd,26 RAY E TALLEY COURT,,SC,29680,GSP,2017-11-29 21:31:30
Fort Collins,TECHNET Fort Collins - Community Automotive Center,1925 S Timberline Rd,,CO,80525,FNL,2017-11-29 21:31:23
Salem,AAMCO Salem - Liberty St,1855 Liberty Street NE,,OR,97303,SLE,2017-11-29 21:31:23
Cicero,Pep Boys Cicero,2501 S Cicero Ave,,IL,60804,CHI,2017-11-29 21:31:10
Ham Lake,Victory Auto Service & Glass - Ham Lake (NO LYFT REP.),16326 Highway 65 NE,,MN,55304,MSP,2017-11-29 21:31:26
