location_city,location_name,location_street_address,location_street_address_2,location_state,location_zip_code,region,logged_at
Seattle,Lyft Hub,1012 Western Ave,,WA,98104,TAC,2017-11-29 21:31:23
Ham Lake,Victory Auto S&G - Ham Lake (NO LYFT REP.),16326 Highway 65 NE,,MN,55304,MSP,2017-08-24 20:09:52
Deatur,National Tire & Battery Huntsville - Beltline Rd.,902 Beltline Rd.,,AL,35601,HSV,2017-08-03 21:40:13
Englewood,Metro Express Car Wash,4095 S Santa Fe Dr.,,CO,80110,DEN,2017-10-13 17:11:41
Modesto,Pep Boys - Modesto,1340 McHenry Ave,,CA,95350,MOD,2017-11-29 21:31:18
Watsonville,Firestone - Watsonville,1099 S Green Valley Rd,,CA,95076,CRZ,2017-11-29 21:31:26
San Francisco,Firestone - Mission St,1501 Mission St,,CA,94103,SFO,2017-11-29 21:31:30
La Plata,American Legion - La Plata MD,6330 Crain Hwy,,MD,20646,DCA,2017-11-29 21:31:13
Watsonville,Firestone - Watsonville,1099 S Green Valley Rd,,CA,95076,MRY,2017-11-29 21:31:26
Turlock,Les Schwab Tire Center - Turlock,2602 Geer Rd,,CA,95382,MCE,2017-11-29 21:31:21
Lamar,Ark Valley Auto Services,516 E Olive St,,CO,81052,LAA,2017-11-29 21:31:26
Union City,Pep Boys Union City,30085 Industrial Parkway SW,,CA,94587,SFO,2017-11-29 21:31:12
Audubon,Pep Boys - Audubon NJ,114 E Black Horse Pike,,NJ,8106,NYC,2017-11-29 21:31:12
San Luis Obispo,Erickson Automotive - San Luis Obispo,2923 S Higuera St,,CA,93401,SBP,2017-11-29 21:31:27
Alexandria,Wiygul Automotive - Pickett St.,310 S. Pickett St.,,VA,22304,DCA,2017-11-29 21:31:17
Tukwila,Comfort Suites,7200 Fun Center Way,,WA,98188,TAC,2017-11-29 21:31:11
Salinas,Jiffy Lube - Salinas,228 N Main St,,CA,93901,MRY,2017-11-29 21:31:35
San Jose,Wheel Works - San Jose,5759 Winfield Blvd,,CA,95123,SJC,2017-11-29 21:31:30
Tukwila,Comfort Suites,7200 Fun Center Way,,WA,98188,SEA,2017-11-29 21:31:11
Encinitas,Pep Boys - Encinitas,256 El Camino Real N,,CA,92024,SAN,2017-11-13 17:51:36
Aurora,Pep Boys - E. Mississippi Ave,12820 E. Mississippi Ave,,CO,80012,DEN,2017-07-07 21:49:59
Toms River,Pep Boys - Toms River,301 NJ-37 E,,NJ,8753,NYC,2017-01-26 23:16:37
San Diego,Lyft Hot Spot,8999 Activity Rd,,CA,92126,SAN,2017-10-20 17:05:24
Peoria,Meineke Peoria,3722 North Prospect Rd,,IL,61614,PIA,2017-11-29 21:31:35
Aurora,DoubleTree Aurora,13696 East Iliff Place,,CO,80014,DEN,2017-11-29 21:31:10
El Centro,Exxpress Lube,1470 Adams Ave,,CA,92243,IPL,2017-11-29 21:31:16
SPOKANE,TECHNET Spokane - Botzons Automotive,221 S DISHMAN RD,,WA,99206,GEG,2017-11-29 21:31:25
Niles,Pep Boys (Niles),9643.5 N Milwaukee Ave.,,IL,60714,CHI,2017-12-01 20:40:40
Visalia,Pep Boys - Visalia,3015 S Mooney Blvd,,CA,93277,FAT,2017-11-29 21:31:28
Fresno,Fresno - Pep Boys (North West Fresno),4490 W Shaw Ave,,CA,93722,FAT,2017-11-29 21:31:27
Alhambra,Lyft Hotspot - Alhambra,1000 South Fremont Avenue,,CA,91803,LAX,2017-11-29 21:31:11
Chico,Jiffy Lube - Chico,2452 Notre Dame Blvd,,CA,95928,CIC,2017-11-29 21:31:21
Lamar,K&S Auto Repair,203 S 4th St,,CO,81052,LAA,2017-11-29 21:31:25
Tracy,Big O Tires - Tracy,1129 W 11th St,,CA,95376,MOD,2017-11-29 21:31:30
Willingboro,Pep Boys - Beverly NJ,2176 Rte 130,,NJ,8046,NYC,2017-11-29 21:31:22
Grand Rapids,Parker Brake Inc.,729 Burton St SW,,MI,49503,GRR,2017-11-29 21:31:18
Fresno,Jiffy Lube  - Fresno (Blackstone Ave),3896 N Blackstone Ave,,CA,93726,FAT,2017-11-29 21:31:25
Lansing,The Car Shop,6165 Bishop Rd,,MI,48911,LAN,2017-11-29 21:31:17
Moreno Valley,Pep Boys - Moreno Valley,23470 Sunny Mead Blvd,,CA,92553,SBD,2017-11-29 21:31:28
Placerville,Big O Tires - Placerville,85 Placerville Dr,,CA,95667,TVL,2017-11-29 21:31:20
Plantation,Sunrise Collision Inc.,1384 NW 65th Ave,,FL,33313,MIA,2017-11-29 21:31:09
Flint,Belle Tire,4545 Miller Road,,MI,48507,FNT,2017-11-29 21:31:34
Tucson,AAMCO Tucson - W. Ina Rd,3674 W. Ina Road,,AZ,85741,TUS,2017-11-29 21:31:14
Grand Rapids,TMT The Master Technician,1267 Kalamazoo Ave SE,,MI,49507,GRR,2017-11-29 21:31:18
Panama City,Pep Boys Panama City,821 W 23rd St,,FL,32405,ECP,2017-11-29 21:31:17
Warren,Hawthorn Suites By Wyndham,30180 N Civic Center Dr,,MI,48093,DTW,2017-11-29 21:31:18
Bishop,Bishop Radiator & Auto Repair,1280 N Main St,,CA,93514,ECA,2017-11-29 21:31:26
Lincoln,AAMCO Lincoln -  Adams St,3645 Adams Street,,NE,68504,LNK,2017-11-29 21:31:23
Fridley,Victory Auto Service & Glass Fridley,1010 Osborne Rd. NE,,MN,55432,MSP,2017-12-05 00:11:16
Fairfax,Kena Shriners,9001 Arlington Blvd,,VA,22031,DCA,2017-02-13 23:19:39
Paterson,Pep Boys - Paterson,261 McLean Blvd,,NJ,7504,NYC,2017-01-26 23:17:49
Detroit,James Martin Chevrolet,6250 Woodward Ave,,MI,48202,DTW,2017-07-06 19:16:30
Normal,Meineke Normal,1500 East Vernon Ave,,IL,61761,BMI,2017-06-27 00:45:47
Napa,Meineke - Napa,713 Silverado Trail,,CA,94556,STS,2017-06-27 00:45:12
Willingboro,Pep Boys - Edgewater Park NJ,2176 Rte 130,,NJ,8046,NYC,2017-02-02 18:03:35
Minneapolis,Victory Auto Service & Glass Brooklyn Park,8098 Brooklyn Blvd,,MN,55445,MSP,2017-12-04 16:47:13
Tallahassee,Pep Boys - 2353 Apalachee Parkway,2353 Apalachee Parkway,,FL,32301,TLH,2017-11-29 21:31:20
San Luis Obispo,Big Brand Tire - San Luis Obispo,3577 S Higuera S,,CA,93401,SBP,2017-11-29 21:31:21
Miami,Abana Auto Parts,222 SW 22 Avenue,,FL,33135,MIA,2017-11-29 21:31:11
Boulder,Millennium Harvest House Hotel,1345 28th Street,,CO,80302,DEN,2017-11-29 21:31:09
Daly City,Daly City - Wheel Works,5 Skyline Plaza,,CA,94015,SFO,2017-11-29 21:31:16
Manteca,Les Schwab Tire Center - Manteca,1240 W Yosemite Ave,,CA,95337,SCK,2017-11-29 21:31:21
West St. Paul,Bobby & Steve's - West St. Paul (NO LYFT REP.),1820 South Robert St.,,MN,55118,MSP,2017-11-29 21:31:15
Glenolden,Pep Boys - N MacDade Blvd,20 N MacDade Blvd,,PA,19036,PHI,2017-11-29 21:31:15
GILBERT,Discount Tire - Gilbert,2623 S MARKET ST,,AZ,85295,PHX,2017-11-29 21:31:19
Pinetop,Time Storms Services Center,691 E White Mountain Blvd,,AZ,85935,EAZ,2017-11-29 21:31:26
Tacoma,Comfort Inn Tacoma,8620 S Hosmer St,,WA,98444,SEA,2017-11-22 20:48:09
Huntsville,3030 SOUTH MEMORIAL PARKWAY,3030 SOUTH MEMORIAL PARKWAY,,AL,35801,HSV,2017-08-03 21:53:49
Tacoma,Comfort Inn,8620 S Hosmer St,,WA,98444,TAC,2017-01-20 16:51:40
Jersey City,Pep Boys - Hudson Mall,701 NJ-440,,NJ,7304,NYC,2017-01-26 23:51:21
Ann Arbor,Washtenaw Community College- Gunder Myran Building,4800 E. Huron River Drive,,MI,48105,ARB,2017-07-21 15:01:28
Miami,DJ Body Shop,3582 NW 52nd Street,,FL,33127,MIA,2016-11-17 19:22:21
Covina,Pep Boys - Covina,1240 N Azusa,,CA,91722,SBD,2017-12-04 04:58:30
Oak Lawn,Pep Boys (Oak Lawn),4143 W. 95th St.,,IL,60453,CHI,2017-12-04 22:51:38
Lombard,Pep Boys (Lombard),851 E Roosevelt Rd,,IL,60148,CHI,2017-12-04 22:51:30
Covina,Pep Boys - Covina,1240 N Azusa,,CA,91722,LAX,2017-12-04 04:58:30
Salinas,Firestone - Salinas,150 Northridge Shopping Ctr,,CA,93906,MRY,2017-11-29 21:31:23
Los Angeles,Pep Boys - Fountain Ave,3904 Fountain Ave,,CA,90029,LAX,2017-11-29 21:31:32
Concord,Concord - Wheel Works,1410 Concord Ave,,CA,94520,SFO,2017-11-29 21:31:26
Sunrise,Weston Tire And Auto,15740 W State Rd 84,,FL,33326,MIA,2017-11-29 21:31:20
Goodyear,Pep Boys - Goodyear,660 N. Dysart,,AZ,85338,PHX,2017-11-29 21:31:20
Castle Rock,Rock Church,4881 Cherokee Drive,,CO,80109,DEN,2017-11-29 21:31:30
Paso Robles,Jiffy Lube - Paso Robles,200 Oak Hill Rd,,CA,93446,SBP,2017-11-29 21:31:27
Mill Valley,Jiffy Lube - Mill Valley,374 Miller Ave,,CA,94941,SFO,2017-11-29 21:31:28
Silver Spring,Silver Spring CVS,9520 Georgia Ave,,MD,20910,DCA,2017-11-29 21:31:20
San Luis Obispo,JC Automotive - San Luis Obispo,2923 S Higuera St,,CA,93401,SBP,2017-11-29 21:31:27
Tacoma,Red Lion Tacoma,8402 S Hosmer St,,WA,98444,TAC,2017-11-29 21:31:09
Alexandria,Wiygul Automotive - Alexandria,310 S. Pickett St.,,VA,22304,DCA,2017-04-12 19:05:09
Oak Lawn,Pep Boys Oak Lawn (new),4143 W. 95th St.,,IL,60453,CHI,2017-08-17 20:31:43
Gainesville,Pep Boys Gainesville,7725 W Newberry Rd,,FL,32606,GNV,2017-11-29 21:31:22
Houghton,Goodwin Motors,46445 US-41,,MI,49931,MQT,2017-11-29 21:31:25
MADISON,National Tire & Battery Madison - Hwy 72,7521 HIGHWAY 72 W,,AL,35758,HSV,2017-11-29 21:31:23
Safford,Smith & Taylor Automotive,415 S 8th Ave,,AZ,85546,EAZ,2017-11-29 21:31:25
Los Angeles,Pep Boys - Washington Blvd,1200 W Washington Blvd,,CA,90015,LAX,2017-11-29 21:31:29
Ann Arbor,Advanced Auto Pars,2015 West Stadium Boulevard,,MI,48103,ARB,2017-11-29 21:31:09
Wood Ridge,Dunkin' Donuts - Wood Ridge,699 Avalon Drive,,NJ,7075,NYC,2017-11-29 21:31:09
Minneapolis,Reschedule Pool (NO LYFT REPRESENTATIVE),5801 Nicollet Ave. S.,,MN,55419,MSP,2017-12-05 15:00:14
Portland,PDX Hub,2712 N Mississippi Ave,,OR,97227,PDX,2017-12-05 06:01:55
Albuquerque,Pep Boys - San Mateo Blvd.,5651 San Mateo Blvd. NE,,NM,87109,ABQ,2017-05-24 23:15:46
San Luis Obispo,JC Automotive,2923 S Higuera St,,CA,93401,SBP,2017-09-07 19:46:21
Fresno,Fresno - Pep Boys (Kings Canyon),5615 E Kings Canyon Rd,,CA,93727,FAT,2017-11-29 21:31:27
Folsom,Folsom - Midas,50 Montrose Dr,,CA,95630,SMF,2017-11-29 21:31:27
Tallahassee,Pep Boys - Capital Circle Ne,2237 Capital Circle Ne,,FL,32308,TLH,2017-11-29 21:31:08
San Francisco,Jiffy Lube - Geary Blvd,6099 Geary Blvd,,CA,94121,SFO,2017-11-29 21:31:29
Lexington,TECHNET Lexington - Quality Car Sales and Services,656 Two Notch Rd.,,SC,29073,CAE,2017-11-29 21:31:24
Columbia Heights,Bobby & Steves Columbia Heights,3828 Central Ave. N.E.,,MN,55421,MSP,2017-11-29 21:31:11
Elk Grove,Elk Grove - Firestone,8055 Orchard Loop LN,,CA,95624,SMF,2017-11-29 21:31:32
Columbia Heights,Bobby & Steves Columbia Heights,3828 Central Ave. N.E.,,MN,55421,MSP,2017-11-29 21:31:11
Chico,Pep Boys - Chico,1555 Mangrove Ave,,CA,95926,CIC,2017-11-29 21:31:24
Homewood,Pep Boys Homewood,804 Greensprings Highway,,AL,35209,BHM,2017-11-29 21:31:17
Albuquerque,Pep Boys - San Mateo Blvd,5651 San Mateo Blvd. NE,,NM,87109,ABQ,2017-11-29 21:31:23
Ypsilanti,Midas of Ypsilanti,404 E Michigan Ave.,,MI,48198,ARB,2017-11-29 21:31:24
Manteca,Meineke Car Care Center - Manteca,185 S Union Rd,,CA,95337,SCK,2017-05-10 23:42:09
Piscataway,Pep Boys - Piscataway,1052 Stelton Road,,NJ,8854,NYC,2017-01-28 16:50:31
San Diego,Lyft Hot Spot - Miramar,8999 Activity Rd,,CA,92126,SAN,2017-10-20 18:11:35
Lodi,Pep Boys -- Lodi,1401 S Cherokee Ln,,CA,95240,SCK,2017-03-24 21:41:42
Grand Rapids,Berger Chevrolet,2525 28th St SE,,MI,49512,GRR,2017-11-29 21:31:17
San Bruno,Midas - San Bruno,700 El Camino Real,,CA,94066,SFO,2017-11-29 21:31:29
Mount Pleasant,National Tire & Battery Mount Pleasant - Hwy 17 N,1820 HIGHWAY 17 NORTH,,SC,29464,CHS,2017-11-29 21:31:33
Casa Grande,Pep Boys - Casa Grande,930 E Florence Blvd,,AZ,85122,PHX,2017-11-29 21:31:20
San Diego,Pep Boys -- Normal Heights,3550 El Cajon Blvd,,CA,92104,SAN,2017-11-29 21:31:34
Albuquerque,Pep Boys - Juan Tabo Blvd,1308 Juan Tabo Blvd NE,,NM,87112,ABQ,2017-11-29 21:31:25
Riverdale,Elks Lodge - Hyattsville MD,6700 Kenilworth Ave,,MD,20737,DCA,2017-11-29 21:31:13
Stockton,Pep Boys - Stockton,4987 N W Ln,,CA,95210,SCK,2017-11-29 21:31:30
Mankato,Autotronics,927 N Riverfront Dr.,,MN,56001,MKT,2017-12-04 23:59:45
Riverside,Pep Boys - Riverside,10831 Magnolia Ave,,CA,92505,OCX,2017-12-04 04:47:58
BLUFFTON,National Tire & Battery Blufftown - Island Rd,1176 FORDING ISLAND ROAD,,SC,29910,CHS,2017-11-29 21:31:24
San Luis Obispo,Rizzoli's Automotive,2584 Victoria Ave,,CA,93401,SBP,2017-11-29 21:31:12
Lansing,Town & Country Auto,6227 W Mount Hope Hwy,,MI,48917,LAN,2017-11-29 21:31:18
Show Low,Harris Automotive,640 E Old Linden Rd,,AZ,85901,EAZ,2017-11-29 21:31:25
Vacaville,Big O Tires - Vacaville,1221 E Monte Vista Ave,,CA,95688,STS,2017-11-29 21:31:24
Covina,Covina,1240 N Azusa,,CA,91722,LAX,2017-11-29 21:31:31
Gilroy,Meineke - Gilroy,190 Welburn Ave,,CA,95020,CRZ,2017-11-29 21:31:22
Solvang,Jim's Service Center - Solvang,2015 Mission Dr,,CA,93463,SBP,2017-11-29 21:31:15
Talleyville,Pep Boys - Concord Pike: Delaware,2904 Concord Pike,,DE,19803,PHI,2017-11-29 21:31:16
San Francisco,Midas - Geary Blvd,4419 Geary Blvd,,CA,94118,SFO,2017-11-29 21:31:29
Winter Park,Winter Park Mountain Lodge,81699 US-40,,CO,80482,BRK,2017-11-29 21:31:15
Lincoln,Midas Lincoln,7030 O Street,,NE,68510,LNK,2017-11-29 21:31:31
COLUMBIA,National Tire & Battery Columbia - Harbison Blvd,183 HARBISON BLVD,,SC,29212,CAE,2017-11-29 21:31:23
Chula Vista,Pep Boys - Broadway CV,454 Broadway,,CA,91910,SAN,2017-11-13 17:49:32
Napa,Les Schwab - Napa,830 W Imola Ave,,CA,94559,STS,2017-05-10 23:10:59
Fresno,Jiffy Lube  - Fresno,3896 N Blackstone Ave,,CA,93726,FAT,2017-05-16 19:22:36
Tuscaloosa,Tuscaloosa,3025 Mcfarland Blvd,,AL,35405,TCL,2017-02-13 23:32:28
Lombard,Pep Boys Lombard (new),851 E Roosevelt Rd,,IL,60148,CHI,2017-08-17 20:35:48
Toronto,Candian Tire,839 Yonge Street,,ON,M4W 2H2,YTZ,2017-11-07 17:34:22
Fresno,Pep Boys - North Fresno,3655 N Blackstone Ave,,CA,93726,FAT,2017-02-06 23:00:43
Vallejo,Pep Boys -- Gateway Plaza Vallejo,Gateway Plaza 128 Plaza Dr Vallejo CA 94591,,CA,94591,STS,2017-02-27 22:08:57
St. Petersburg,The Tire Choice,456 Dr MLK Jr St N,,FL,33705,TPA,2017-02-27 14:53:32
King City,My Auto Repair - King City,45336 Los Ositos Rd,,CA,93930,MRY,2017-09-07 18:24:59
San Diego,Pep Boys Normal Heights,3550 El Cajon Blvd,,CA,92104,SAN,2017-11-29 21:31:11
Grand Rapids,Tamminga Garage,1109 Michigan St NE,,MI,49503,GRR,2017-11-29 21:31:17
Aurora,Pep Boys - Aurora,2945 Kirk Rd,,IL,60502,CHI,2017-11-29 21:31:33
Englewood,Metro Express Car Wash (look for the Lyft sign),4095 S Santa Fe Dr.,,CO,80110,DEN,2017-11-29 21:31:32
Grand Rapids,Hubachs Service,7530 Division Ave S,,MI,49548,GRR,2017-11-29 21:31:17
St. Petersburg,JC Automotive Service Inc.,6101 Dr M.L.K. Jr St S,,FL,33705,TPA,2017-11-29 21:31:24
Albuquerque,Pep Boys - Central Ave,4523 Central Ave NW,,NM,87105,ABQ,2017-11-29 21:31:30
Ann Arbor,Belle Tire Ann Arbor W. Ellsworth Rd.,590 W Ellsworth Road,,MI,48108,ARB,2017-04-13 17:41:01
Jersey City,Pep Boys - Jersey City Hudson Mall,701 NJ-440,,NJ,7304,NYC,2017-01-27 01:09:24
Santa Ana,Pep Boys - Santa Ana,120 E First St.,,CA,92701,OCX,2017-12-04 04:48:18
Fairfield,Jiffy Lube - Fairfield,1330 Holiday Ln,,CA,94534,STS,2017-11-29 21:31:25
Brandon,Meineke Car Care Center - Brandon,606 E Brandon Blvd,,FL,33511,TPA,2017-11-29 21:31:12
Cameron Park,Cameron Park - Big O Tires,3321 Durock Rd,,CA,95682,SMF,2017-11-29 21:31:26
Portland,Lyft Hot Spot East,8225 NE Wasco Street,,OR,97220,,2017-11-29 21:31:09
Citrus Heights,Citrus Heights - Goodyear,7986 Greenback Ln,,CA,95610,SMF,2017-11-29 21:31:26
Panama City Beach,Pep Boys Panama City Beach,8113 Front Beach Rd,,FL,32407,ECP,2017-11-29 21:31:16
City of Industry,Pep Boys - Colima Rd,17811 Colima Rd,,CA,91748,LAX,2017-11-29 21:31:29
Tallahassee,Auto & Tire Super Service Center (ASSC),2242 Capital Circle NE,,FL,32308,TLH,2017-11-29 21:31:17
Santa Rosa,AAMCO Santa Rosa - Cleveland Ave,1250 Cleveland Avenue,,CA,95401,STS,2017-11-29 21:31:25
Stockton,Meineke - Stockton,6970 N W Ln,,CA,95210,SCK,2017-11-29 21:31:20
North Platte,Ellett's Automotive,111 E 11th St,,NE,69101,WNE,2017-11-29 21:31:26
Oceanside,AUTO EXPRESS SERVICE,3940 MISSION AVE,,CA,92058,SAN,2017-11-29 21:31:16
Broomfield,Aloft Hotel Broomfield,8300 Arista Place,,CO,80021,,2017-11-29 21:31:17
Minneapolis,Bobby & Steve's - (NO LYFT REP.),5801 Nicollet Ave. S.,,MN,55419,MSP,2017-11-13 18:56:47
Oceanside,Pep Boys - Oceanside,3752 Plaza Dr,,CA,92056,SAN,2017-09-18 15:53:43
Antioch,Antioch - Midas +1 925-778-3400,1200 Auto Center Dr,,CA,94509,SFO,2017-09-06 22:56:18
Novato,Big O Tires - Novato,7427 Redwood Blvd,,CA,94945,STS,2017-06-27 00:46:05
Modesto,Pep Boys -- Modesto,1340 McHenry Ave,,CA,95350,MOD,2017-03-24 21:41:10
Glenolden,Pep Boys - North MacDade Blvd,20 N MacDade Blvd,,PA,19036,PHI,2017-02-07 21:33:20
Cathedral City,Pep Boys - Cathedral City,31-505 Date Palm Dr,,CA,92234,SBD,2017-10-26 19:18:53
Mankato,Mankato Oil & Tire,1771 Bassett Dr.,,MN,56001,MKT,2017-12-04 23:59:49
Richmond Hill,Canadian Tire,250 Silver Linden Drive,,ON,L4B 4W7,YYZ,2017-11-29 21:31:42
San Francisco,The Lyft Support Hub,2300 26th Street,,CA,94107,SJC,2017-11-29 21:31:31
MADISON,National Tire & Battery Madison - Madison Blvd,8755 MADISON BLVD,,AL,35758,HSV,2017-11-29 21:31:24
Ft Collins,AAMCO Ft. Colins - S Mason St,3737 South Mason Street,,CO,80525,FNL,2017-11-29 21:31:22
Ypsilanti,Belle Tire (Ypsilanti),3250 Carpenter Road,,MI,48197,ARB,2017-11-29 21:31:14
Paso Robles,Big Brand Tire - Paso Robles,91 Cary St.,,CA,93446,SBP,2017-11-29 21:31:11
Marquette,Southside Automotive,6580 US 41 South,,MI,49855,MQT,2017-11-29 21:31:25
Round Lake Beach,Pep Boys - Round Lake Beach,818 E Rollins Rd,,IL,60073,CHI,2017-11-29 21:31:29
Boulder,Boulder Public Library - Main Branch,1001 Arapahoe Avenue,,CO,80302,DEN,2017-11-29 21:31:19
Northridge,Lyft Hotspot,17046 Superior Street,,CA,91325,LAX,2017-11-29 21:31:35
Yakima,Yakima Automotive,1205 S 18th St,,WA,98901,YKM,2017-11-29 21:31:15
Miami,Plaza Tire & Auto Center,3005 NE 2nd Ave,,FL,33137,MIA,2017-11-29 21:31:23
Roswell,Eddies Auto Repair,908 E McGaffey St,,NM,88203,ROW,2017-11-29 21:31:26
Taylors,AAMCO Taylors - Wade Hampton Blvd,2918 Wade Hampton Boulevard,,SC,29687,GSP,2017-11-29 21:31:28
Victorville,Pep Boys Victorville,14475 7th St,,CA,92395,VCV,2017-11-29 21:31:11
COLUMBIA,National Tire & Battery Columbia - Garners Ferry Rd,7422 GARNERS FERRY ROAD,,SC,29209,CAE,2017-11-29 21:31:24
Fairfield,Meineke - Fairfield,1525-B Holiday Lane,,CA,94534,STS,2017-11-29 21:31:24
Sunnyvale,MBS Inspections - Sunnyvale,830 Stewart Drive,,CA,94085,SJC,2017-11-29 21:31:31
Fresno,Pep Boys - Downtown Fresno,716 Broadway St Fresno,,CA,93721,FAT,2017-11-29 21:31:21
Ham Lake,Victory Auto - Ham Lake,16326 Highway 65 NE,,MN,55304,MSP,2017-08-24 19:46:28
Philadelphia,Pep Boys - Stenton Ave.,6200 Stenton Ave.,,PA,19138,PHI,2017-02-07 20:21:32
Tucson,Pep Boys Tucson - W Ina Rd,4275 W Ina Rd,,AZ,85741,TUS,2017-11-29 21:31:24
Sebastopol,Big O Tires - Sebastopol,742 S Main St,,CA,95472,STS,2017-11-29 21:31:20
Basalt,Element Basalt - Aspen,499 Market St,,CO,81621,ASP,2017-11-29 21:31:24
Stockton,Jiffy Lube - Stockton (E Hammer Ln),1648 E Hammer Ln,,CA,95210,SCK,2017-11-29 21:31:20
San Jose,Pep Boys - tent near the mechanic bays,2730 Story Rd,,CA,95127,,2017-11-29 21:31:08
Jersey City,Bethune Center - Jersey City NJ,140 Martin Luther King Drive,,NJ,7305,NYC,2017-11-29 21:31:09
Santa Cruz,Jiffy Lube - Santa Cruz,1705 Soquel Ave,,CA,95062,CRZ,2017-11-29 21:31:27
Tempe,Pep Boys - Tempe,1747 E Apache Blvd,,AZ,85281,PHX,2017-11-29 21:31:14
Fontana,Pep Boys - Fontana,16711 Valley Blvd,,CA,92335,SBD,2017-11-29 21:31:29
Chicago,Pep Boys - Elston,2604 N Elston Ave,,IL,60647,CHI,2017-11-29 21:31:15
Cerritos,Pep Boys -- Cerritos,11944 South St,,CA,90703,OCX,2017-11-01 18:34:48
Detroit,Onboarding Location Hawthorn Suites By Wyndham Dearborn/Detroit MI,5777 Southfield Freeway,,MI,48228,DTW,2017-03-16 13:38:10
Redwood City,Big O Tires - Redwood City,2310 El Camino Real,,CA,94063,SFO,2017-11-29 21:31:29
Colorado Springs,AAMCO Colorado Springs - W. Garden of the Gods Rd,432 W. Garden of the Gods Road,,CO,80907,COS,2017-11-29 21:31:15
Tampa,Pep Boys - Hillsborough Ave,3933 W Hillsborough Ave,,FL,33614,TPA,2017-11-29 21:31:11
Huntsville,National Tire & Battery Huntsville - Memorial Pkwy,3030 SOUTH MEMORIAL PARKWAY,,AL,35801,HSV,2017-11-29 21:31:24
Minneapolis,Bobby & Steve's Nicollet,5801 Nicollet Ave,,MN,55419,MSP,2017-11-29 21:31:11
Ann Arbor,Washtenaw Community College- Gunder Myran,4800 E. Huron River Drive,,MI,48105,ARB,2017-11-29 21:31:14
Myrtle Beach,Meineke - George Bishop Pkwy,362 George Bishop Pkwy,,SC,29579,MYR,2017-11-29 21:31:17
Santa Maria,Pep Boys Santa Maria,1723 S Broadway,,CA,93454,SBP,2017-11-29 21:31:23
Portland,EAST PORTLAND- Lyft Hot Spot,8225 NE Wasco Street,,OR,97220,PDX,2017-11-29 21:31:09
Spartanburg,AAMCO Spartanburg - W Main St,659 West Main Street,,SC,29301,GSP,2017-11-29 21:31:23
Joliet,Pep Boys - Joliet,1824 W Jefferson St,,IL,60435,CHI,2017-11-29 21:31:29
Jersey City,Pep Boys - Jersey City NJ (Hudson Mall),701 NJ-440,,NJ,7304,NYC,2017-11-29 21:31:13
Audubon,Pep Boys - Audubon,114 E Black Horse Pike,,NJ,8106,NYC,2017-01-26 23:17:00
Castle Rock,Douglas County Fair Grounds  - Kurk Hall,500 Fairgrounds Rd,,CO,80104,DEN,2017-11-08 18:56:37
SPOKANE,BOTZONS AUTOMOTIVE,221 S DISHMAN RD,,WA,99206,GEG,2017-07-27 22:01:05
Denver,Lyft Denver Hub,1401 Zuni St,,CO,80204,DEN,2017-12-01 20:46:28
Bentonville,Midas,702 S Walton Blvd,,AR,72712,XNA,2017-11-29 21:31:31
Napa,Napa Tire Inc.,1655 Silverado Trail,,CA,94559,STS,2017-11-29 21:31:21
Lexington,S&S Tire - Beaumont Center,3070 Fieldstone Way,,KY,40513,LEX,2017-11-29 21:31:36
Sunnyvale,Pep Boys - Sunnyvale,170 E El Camino Real,,CA,94087,SJC,2017-11-29 21:31:21
Oakdale,Jiffy Lube - Oakdale,146 N 6th Ave,,CA,95361,MOD,2017-11-29 21:31:20
Stockton,Les Schwab Tire Center - Stockton,3554 E Hammer Ln,,CA,95212,SCK,2017-11-29 21:31:20
Landover Hills,Pep Boys - Landover Hills,6825 Annapolis Rd,,MD,20784,DCA,2017-11-29 21:31:17
Ann Arbor,Midas of Ann Arbor (Jackson),2395 Jackson Avenue,,MI,48103,ARB,2017-11-29 21:31:16
Comstock Park,Pep Boys Comstock Park,3737 Alpine Ave NW,,MI,49321,TVC,2017-11-29 21:31:15
San Diego,Pep Boys NH,3550 El Cajon Blvd,,CA,92104,SAN,2017-11-29 21:31:35
Chicago,SEARS TOWER,233 S Wacker Dr,,IL,60606,CHI,2017-11-29 21:31:10
Greenville,Pep Boys Greenville,2418 Laurens Rd,,SC,29607,GSP,2017-11-29 21:31:13
Piscataway,Pep Boys - Piscataway NJ,1052 Stelton Road,,NJ,8854,NYC,2017-11-29 21:31:13
BIRMINGHAM,National Tire & Battery Birmingham - Hwy 208 E,4631 HIGHWAY 280 EAST,,AL,35242,BHM,2017-11-29 21:31:23
Escondido,Pep Boys - Escondido,855 W Mission Ave,,CA,92025,SAN,2017-11-29 21:31:35
Benicia,Benicia - Big O Tires,415 Military E,,CA,94510,SFO,2017-11-29 21:31:26
Spring Valley,Pep Boys - Spring Valley,8888 Jamacha Blvd,,CA,91977,SAN,2017-11-13 17:49:00
Thornton,Holiday Inn Express Express & Suites - North Denver/Thornton,12030 Grant Street,,CO,80241,DEN,2017-08-23 22:08:08
Piscataway,Pep Boys - New Brunswick,1052 Stelton Road,,NJ,8854,NYC,2017-01-26 23:13:49
San Luis Obispo,Big Brand Tire,3577 S Higuera S,,CA,93401,SBP,2017-01-10 21:26:06
Costa Mesa,Pep Boys - Costa Mesa,2946 Bristol St,,CA,92626,OCX,2017-11-29 21:31:34
